YEAR,MONTH,DAY,TOTAL
2014,Jun,10,113.72
2014,Jun,11,98.34
2014,Jun,12,99.42
2014,Jun,13,99
2014,Jun,14,99.94
2014,Jun,15,100.88
2014,Jun,16,101.79
2014,Jun,17,102.34
2014,Jun,18,103.34
2014,Jun,19,104.4
2014,Jun,20,105.45
2014,Jun,21,106.44
2014,Jun,22,107.36
2014,Jun,23,108.26
2014,Jun,24,109.22
2014,Jun,25,110.27
2014,Jun,26,110.72
2014,Jun,27,111.64
2014,Jun,28,107.47
2014,Jun,29,108.41
2014,Jun,30,109.19
2014,Jul,1,110
2014,Jul,2,110.97
2014,Jul,3,111.24
2014,Jul,4,112.06
2014,Jul,5,112.65
2014,Jul,6,113.34
2014,Jul,7,113.9
2014,Jul,8,116.75
2014,Jul,9,116.46
2014,Jul,10,117.3
2014,Jul,11,118.15
2014,Jul,12,119.04
2014,Jul,13,119.92
2014,Jul,14,120.71
2014,Jul,15,113.1
2014,Jul,16,114.15
2014,Jul,22,117.91
2014,Jul,23,117.34
2014,Jul,24,118.17
2014,Jul,25,119.29
2014,Jul,26,120.44
2014,Jul,27,113.84
2014,Jul,28,114.62
2014,Jul,29,115.57
2014,Jul,30,116.56
2014,Jul,31,117.62
2014,Aug,1,119.36
2014,Aug,2,120.75
2014,Aug,3,119.29
2014,Aug,4,120.19
2014,Aug,5,118.38
2014,Aug,6,118.2
2014,Aug,7,115.23
2014,Aug,8,114.56
2014,Aug,9,115.4
2014,Aug,10,110.78
2014,Aug,11,111.61
2014,Aug,12,112.53
2014,Aug,13,112.84
2014,Aug,14,113.84
2014,Aug,15,114.34
2014,Aug,16,114.62
2014,Aug,17,115.49
2014,Aug,18,116.38
2014,Aug,19,117.86
2014,Aug,20,118.44
2014,Aug,21,114.79
2014,Aug,22,103.11
2014,Aug,23,102.06
2014,Aug,24,102.53
2014,Aug,25,103.35
2014,Aug,26,104.26
2014,Aug,27,105.16
2014,Aug,28,106.13
2014,Aug,29,107.49
2014,Aug,30,108.47
2014,Aug,31,109.46
2014,Sep,1,110.58
2014,Sep,2,111.38
2014,Sep,3,111.75
2014,Sep,4,112.51
2014,Sep,5,111.11
2014,Sep,6,111.89
2014,Sep,7,113.42
2014,Sep,8,113.95
2014,Sep,9,114.18
2014,Sep,10,114.11
2014,Sep,11,114.63
2014,Sep,12,114.42
2014,Sep,13,114.09
2014,Sep,14,104.98
2014,Sep,15,105.95
2014,Sep,16,107.44
2014,Sep,17,108.47
2014,Sep,18,109.63
2014,Sep,19,110.81
2014,Sep,20,112.06
2014,Sep,21,110.29
2014,Sep,22,106.66
2014,Sep,23,107.36
2014,Sep,24,108.31
2014,Sep,25,109.35
2014,Sep,26,110.37
2014,Sep,27,111.29
2014,Sep,28,109.99
2014,Sep,29,110.99
2014,Sep,30,111.9
2014,Oct,1,112.8
2014,Oct,2,113.95
2014,Oct,3,114.81
2014,Oct,4,115.74
2014,Oct,5,116.57
2014,Oct,6,116.92
2014,Oct,7,118.1
2014,Oct,8,117.24
2014,Oct,9,118.77
2014,Oct,10,118.35
2014,Oct,11,119.4
2014,Oct,12,114.56
2014,Oct,13,85.24
2014,Oct,14,84.08
2014,Oct,15,85.47
2014,Oct,16,87.04
2014,Oct,17,88.38
2014,Oct,18,89.21
2014,Oct,19,89.41
2014,Oct,20,88.35
2014,Oct,21,89.72
2014,Oct,22,91.25
2014,Oct,23,93.66
2014,Oct,24,94.91
2014,Oct,25,90.17
2014,Oct,26,91.05
2014,Oct,27,79.93
2014,Oct,28,83.43
2014,Oct,29,84.55
2014,Oct,30,85.48
2014,Oct,31,85.96
2014,Nov,1,87.35
2014,Nov,2,88.41
2014,Nov,3,89.16
2014,Nov,4,90.36
2014,Nov,5,91.31
2014,Nov,6,92.36
2014,Nov,7,93.48
2014,Nov,8,94.61
2014,Nov,9,95.56
2014,Nov,10,93.67
2014,Nov,11,95.03
2014,Nov,12,93.31
2014,Nov,13,96.71
2014,Nov,14,98.14
2014,Nov,15,100.28
2014,Nov,16,99.53
2014,Nov,17,96.35
2014,Nov,18,97.27
2014,Nov,19,98.22
2014,Nov,20,99.13
2014,Nov,21,100.04
2014,Nov,22,102.42
2014,Nov,23,103.63
2014,Nov,24,101.13
2014,Nov,25,103.9
2014,Nov,26,104.91
2014,Nov,27,105.84
2014,Nov,28,106.76
2014,Nov,29,106.39
2014,Nov,30,97.63
2014,Dec,1,95.98
2014,Dec,2,96.57
2014,Dec,3,99.26
2014,Dec,4,98.58
2014,Dec,5,101.09
2014,Dec,6,102.26
2014,Dec,7,103.03
2014,Dec,8,98.25
2014,Dec,9,99.06
2014,Dec,10,98.46
2014,Dec,11,99.64
2014,Dec,12,100.68
2014,Dec,13,101.27
2014,Dec,14,94.37
2014,Dec,15,94.6
2014,Dec,16,96.68
2014,Dec,17,97.71
2014,Dec,18,98.66
2014,Dec,19,99.61
2014,Dec,20,100.63
2014,Dec,21,101.55
2014,Dec,22,95.48
2014,Dec,23,98.04
2014,Dec,24,99.04
2014,Dec,25,99.95
2014,Dec,26,100.8
2014,Dec,27,101.74
2014,Dec,28,102.63
2014,Dec,29,103.83
2014,Dec,30,104.96
2014,Dec,31,105.67
2015,Jan,1,106.66
2015,Jan,2,107.45
2015,Jan,8,108.41
2015,Jan,12,87.69
2015,Jan,13,90.47
2015,Jan,14,91.68
2015,Jan,15,92.05
2015,Jan,16,94.31
2015,Jan,17,94.96
2015,Jan,18,96.37
2015,Jan,19,97.09
2015,Jan,20,98.25
2015,Jan,21,97.05
2015,Jan,22,100.03
